iter	Passed	Remaining
735	5788	2076
736	5795	2068
737	5802	2060
738	5810	2052
739	5818	2044
740	5826	2036
741	5833	2028
742	5841	2020
743	5847	2012
744	5855	2004
745	5862	1996
746	5868	1987
747	5874	1979
748	5881	1971
749	5890	1963
750	5898	1955
751	5905	1947
752	5913	1939
753	5921	1931
754	5928	1923
755	5936	1916
756	5944	1908
757	5951	1900
758	5959	1892
759	5966	1884
760	5973	1876
761	5980	1867
762	5988	1860
763	5996	1852
764	6003	1844
765	6010	1836
766	6018	1828
767	6024	1820
768	6032	1812
769	6039	1803
770	6044	1795
771	6052	1787
772	6058	1779
773	6065	1771
774	6073	1763
775	6080	1755
776	6086	1746
777	6092	1738
778	6099	1730
779	6105	1722
780	6113	1714
781	6120	1706
782	6128	1698
783	6135	1690
784	6143	1682
785	6149	1674
786	6157	1666
787	6166	1658
788	6173	1651
789	6181	1643
790	6188	1635
791	6195	1627
792	6203	1619
793	6211	1611
794	6217	1603
795	6225	1595
796	6232	1587
797	6239	1579
798	6246	1571
799	6252	1563
800	6260	1555
801	6266	1547
802	6274	1539
803	6281	1531
804	6288	1523
805	6295	1515
806	6303	1507
807	6311	1499
808	6318	1491
809	6325	1483
810	6333	1476
811	6341	1468
812	6349	1460
813	6355	1452
814	6362	1444
815	6370	1436
816	6378	1428
817	6385	1420
818	6393	1412
819	6401	1405
820	6407	1397
821	6413	1388
822	6421	1381
823	6427	1372
824	6434	1364
825	6441	1356
826	6446	1348
827	6454	1340
828	6459	1332
829	6467	1324
830	6473	1316
831	6481	1308
832	6488	1300
833	6494	1292
834	6502	1284
835	6508	1276
836	6515	1268
837	6522	1260
838	6528	1252
839	6535	1244
840	6541	1236
841	6548	1228
842	6555	1220
843	6562	1212
844	6570	1205
845	6576	1197
846	6584	1189
847	6591	1181
848	6599	1173
849	6606	1165
850	6613	1157
851	6621	1150
852	6627	1142
853	6635	1134
854	6640	1126
855	6647	1118
856	6654	1110
857	6661	1102
858	6669	1094
859	6676	1086
860	6683	1078
